details_id,pair,timestamp,rate,volume
divine-orb,chaos,2025-12-18T00:00:00Z,80.35,1552
divine-orb,chaos,2025-12-17T00:00:00Z,89.07,1135
divine-orb,chaos,2025-12-16T00:00:00Z,77.16,1603
divine-orb,chaos,2025-12-15T00:00:00Z,46.88,3556
divine-orb,chaos,2025-12-14T00:00:00Z,39.62,1812
divine-orb,chaos,2025-12-13T00:00:00Z,44.4,19
perfect-chaos-orb,divine,2026-01-15T00:00:00Z,0.4204,2963
perfect-chaos-orb,divine,2026-01-14T00:00:00Z,0.3436,3626
perfect-chaos-orb,divine,2026-01-13T00:00:00Z,0.3223,3170
perfect-chaos-orb,divine,2026-01-12T00:00:00Z,0.3119,3309
perfect-chaos-orb,divine,2026-01-11T00:00:00Z,0.2624,2451
perfect-chaos-orb,divine,2026-01-10T00:00:00Z,0.3323,2133
perfect-chaos-orb,divine,2026-01-09T00:00:00Z,0.3721,2631
perfect-chaos-orb,divine,2026-01-08T00:00:00Z,0.3801,1985
perfect-chaos-orb,divine,2026-01-07T00:00:00Z,0.3936,1672
perfect-chaos-orb,divine,2026-01-06T00:00:00Z,0.414,1530
perfect-chaos-orb,divine,2026-01-05T00:00:00Z,0.5011,1645
perfect-chaos-orb,divine,2026-01-04T00:00:00Z,0.5128,2006
perfect-chaos-orb,divine,2026-01-03T00:00:00Z,0.6468,3805
perfect-chaos-orb,divine,2026-01-02T00:00:00Z,0.2185,1387
perfect-chaos-orb,divine,2026-01-01T00:00:00Z,0.2827,961.4
perfect-chaos-orb,divine,2025-12-31T00:00:00Z,0.388,1206
perfect-chaos-orb,divine,2025-12-30T00:00:00Z,1.13,1936
perfect-chaos-orb,divine,2025-12-29T00:00:00Z,1.16,1488
perfect-chaos-orb,divine,2025-12-28T00:00:00Z,1.54,1024
perfect-chaos-orb,divine,2025-12-27T00:00:00Z,2.06,1256
perfect-chaos-orb,divine,2025-12-26T00:00:00Z,1.97,1314
perfect-chaos-orb,divine,2025-12-25T00:00:00Z,1.9,1062
perfect-chaos-orb,divine,2025-12-24T00:00:00Z,1.48,591.5
perfect-chaos-orb,divine,2025-12-23T00:00:00Z,1.42,400.7
perfect-chaos-orb,divine,2025-12-22T00:00:00Z,1.48,528.1
perfect-chaos-orb,divine,2025-12-21T00:00:00Z,1.34,416.5
perfect-chaos-orb,divine,2025-12-20T00:00:00Z,0.9426,159.2
perfect-chaos-orb,divine,2025-12-19T00:00:00Z,0.8995,110.0
perfect-chaos-orb,divine,2025-12-18T00:00:00Z,1.09,176.8
perfect-chaos-orb,divine,2025-12-17T00:00:00Z,1.12,93.52
perfect-chaos-orb,divine,2025-12-16T00:00:00Z,0.735,33.5
perfect-chaos-orb,divine,2025-12-15T00:00:00Z,0.5724,15.12
perfect-chaos-orb,divine,2025-12-14T00:00:00Z,0.8621,1.32
perfect-chaos-orb,exalted,2026-01-15T00:00:00Z,129.3,120.5
perfect-chaos-orb,exalted,2026-01-14T00:00:00Z,107.3,138.1
perfect-chaos-orb,exalted,2026-01-13T00:00:00Z,99.94,163.1
perfect-chaos-orb,exalted,2026-01-12T00:00:00Z,93.92,164.1
perfect-chaos-orb,exalted,2026-01-11T00:00:00Z,85.51,161.0
perfect-chaos-orb,exalted,2026-01-10T00:00:00Z,113.9,189.2
